"ISO3 Code","País","Región","Subregión ","Subregión detallada","Grupo de Ingresos del Banco Mundial ","¿Es miembro de la OIT? ","¿Incluido en las estimaciones de la OIT? "
"DNK","Dinamarca","Europa y Asia Central","Europa del Norte, Sur y Occidental","Norte de Europa","Ingreso alto","Si","Si (*)"
"DJI","Djibouti","?frica","?frica subsahariana","?frica Oriental","Ingreso mediano bajo","Si","Si (*)"
"DMA","Dominica","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso mediano alto","Si","No"
"DOM","Rep?blica Dominicana","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso mediano alto","Si","Si"
"ECU","Ecuador","Am?ricas","Am?rica Latina y el Caribe","Am?rica del Sur","Ingreso mediano alto","Si","Si"
"EGY","Egipto","?frica","Norte de ?frica","Norte de ?frica","Ingreso mediano bajo","Si","Si"
"SLV","El Salvador","Am?ricas","Am?rica Latina y el Caribe","Am?rica Central","Ingreso mediano bajo","Si","Si"
"GNQ","Guinea Ecuatorial","?frica","?frica subsahariana","?frica central","Ingreso mediano alto","Si","Si"
"ERI","Eritrea","?frica","?frica subsahariana","?frica Oriental","Ingreso bajo","Si","Si"
"EST","Estonia","Europa y Asia Central","Europa del Norte, Sur y Occidental","Norte de Europa","Ingreso alto","Si","Si (*)"
"ETH","Etiop?a","?frica","?frica subsahariana","?frica Oriental","Ingreso bajo","Si","Si"
"FRO","Islas Feroe","Europa y Asia Central","Europa del Norte, Sur y Occidental","Norte de Europa","Ingreso alto","No","No"
"FLK","Islas Malvinas (Falkland)","Am?ricas","Am?rica Latina y el Caribe","Am?rica del Sur","Ingreso alto","No","No"
"FJI","Fiji","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso mediano alto","Si","Si"
"FIN","Finlandia","Europa y Asia Central","Europa del Norte, Sur y Occidental","Norte de Europa","Ingreso alto","Si","Si (*)"
"FRA","Francia","Europa y Asia Central","Europa del Norte, Sur y Occidental","Europa occidental","Ingreso alto","Si","Si (*)"
"GUF","Guayana Francesa","Am?ricas","Am?rica Latina y el Caribe","Am?rica del Sur","Ingreso alto","No","No"
